NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,Class_Num,CLASS_CATEGORY,SALE DATE-day,SALE DATE-month,SALE DATE-year
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,372,19,Residential,292 EAST 3 STREET                         ,10009,9,1,10,2401,6920,1920,2,Residential,670509,2009-05-11,07,RENTALS ,11,5,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,377,53,Residential,269 EAST 7 STREET                         ,10009,5,0,5,2169,3657,1900,2,Residential,0,2009-03-25,07,RENTALS ,25,3,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,385,53,Residential,234 EAST 2 STREET                         ,10009,15,0,15,2542,9062,1900,2,Residential,10,2009-10-01,07,RENTALS ,1,10,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,386,63,Residential,215 EAST 3 STREET                         ,10009,8,0,8,2212,9660,1900,2,Residential,3500000,2009-02-02,07,RENTALS ,2,2,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,402,28,Residential,168 EAST 7 STREET                         ,10009,20,0,20,2533,9720,1911,2,Residential,1,2009-03-02,07,RENTALS ,2,3,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,405,5,Residential,182 AVENUE A                              ,10009,32,0,32,4918,15392,1920,2,Residential,1252452,2009-01-02,07,RENTALS ,2,1,2009
ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,406,42,Residential,543 EAST 12 STREET                        ,10009,18,1,19,3622,11951,1900,2,Residential,0,2009-12-30,07,RENTALS ,30,12,2009
ALPHABET CITY,08  RENTALS - ELEVATOR APARTMENTS,2,401,29,Residential,538 EAST 6 STREET                         ,10009,18,0,18,2232,11447,1900,2,Residential,10,2009-10-01,08,RENTALS ,1,10,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,373,40,Residential," 327 EAST 3RD STREET, 4C                   ",10009,0,0,0,0,0,1920,2,Residential,370000,2009-07-06,09,COOPS ,6,7,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,373,46,Residential," 317 EAST 3RD STREET, 2                    ",10009,0,0,0,0,0,1925,2,Residential,350000,2009-02-03,09,COOPS ,3,2,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,373,46,Residential," 317 EAST 3RD STREET, 17                   ",10009,0,0,0,0,0,1925,2,Residential,295000,2009-08-07,09,COOPS ,7,8,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,373,49,Residential," 311 EAST 3RD STREET, 17                   ",10009,0,0,0,0,0,1920,2,Residential,340000,2009-12-07,09,COOPS ,7,12,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,374,65,Residential," 309 EAST 4TH STREET, 5D                   ",10009,0,0,0,0,0,1900,2,Residential,1,2009-03-09,09,COOPS ,9,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,376,16,Residential," 248 EAST 7TH STREET, 7-8                  ",10009,0,0,0,0,0,1928,2,Residential,575000,2009-01-21,09,COOPS ,21,1,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,376,16,Residential," 248 EAST 7TH   STREET, 17-18              ",10009,0,0,0,0,0,1928,2,Residential,565000,2009-07-10,09,COOPS ,10,7,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,376,18,Residential," 252 EAST 7TH STREET, 13                   ",10009,0,0,0,0,0,1928,2,Residential,627000,2009-03-31,09,COOPS ,31,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,376,18,Residential," 252 EAST 7TH STREET, 5                    ",10009,0,0,0,0,0,1928,2,Residential,1150000,2009-09-21,09,COOPS ,21,9,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,386,20,Residential," 268 EAST 4TH STREET, 4AB                  ",10009,0,0,0,0,0,1923,2,Residential,385000,2009-08-06,09,COOPS ,6,8,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,387,15,Residential," 610 EAST 5TH STREET, 4                    ",10009,0,0,0,0,0,1900,2,Residential,340000,2009-04-20,09,COOPS ,20,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,387,15,Residential," 610 EAST 5TH STREET, 9                    ",10009,0,0,0,0,0,1900,2,Residential,360000,2009-05-18,09,COOPS ,18,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,387,15,Residential," 610 EAST 5TH STREET, 13                   ",10009,0,0,0,0,0,1900,2,Residential,382500,2009-11-11,09,COOPS ,11,11,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,387,37,Residential," 55 AVENUE C, 8                            ",10009,0,0,0,0,0,1900,2,Residential,499000,2009-09-09,09,COOPS ,9,9,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,387,37,Residential," 55 AVENUE C, 17                           ",10009,0,0,0,0,0,1900,2,Residential,510000,2009-09-15,09,COOPS ,15,9,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,389,21,Residential," 206 EAST 7TH STREET, 21                   ",10009,0,0,0,0,0,1900,2,Residential,0,2009-04-07,09,COOPS ,7,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,389,26,Residential," 216 EAST 7TH STREET, 1                    ",10009,0,0,0,0,0,1925,2,Residential,590000,2009-04-24,09,COOPS ,24,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,389,26,Residential," 216 EAST 7TH, 5                           ",10009,0,0,0,0,0,1925,2,Residential,460000,2009-05-20,09,COOPS ,20,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,390,42,Residential," 219 EAST 7TH STREET, 21                   ",10009,0,0,0,0,0,1910,2,Residential,495000,2009-05-01,09,COOPS ,1,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,390,42,Residential," 219 EAST 7TH STREET, 18                   ",10009,0,0,0,0,0,1910,2,Residential,495000,2009-05-01,09,COOPS ,1,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,390,55,Residential," 199 EAST 7TH STREET, 3D                   ",10009,0,0,0,0,0,1935,2,Residential,465000,2009-11-06,09,COOPS ,6,11,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,391,21,Residential," 628 E.9TH STREET, 1A                      ",10009,0,0,0,0,0,1910,2,Residential,90000,2009-07-13,09,COOPS ,13,7,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,391,48,Residential," 323 EAST 8TH STREET, 4B                   ",10009,0,0,0,0,0,1910,2,Residential,475000,2009-03-27,09,COOPS ,27,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,391,48,Residential," 323 EAST 8TH STREET, 6C                   ",10009,0,0,0,0,0,1910,2,Residential,265000,2009-04-13,09,COOPS ,13,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,391,48,Residential," 323 EAST 8TH STREET, G                    ",10009,0,0,0,0,0,1910,2,Residential,390000,2009-04-09,09,COOPS ,9,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,391,57,Residential," 303 EAST 8TH STREET, 1R                   ",10009,0,0,0,0,0,1900,2,Residential,0,2009-07-14,09,COOPS ,14,7,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,394,52,Residential," 633 EAST 11TH STREET, 16                  ",10009,0,0,0,0,0,1937,2,Residential,285000,2009-10-21,09,COOPS ,21,10,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,396,20,Residential," 630 EAST 14TH STREET, 1                   ",10009,0,0,0,0,0,1920,2,Residential,412543,2009-01-09,09,COOPS ,9,1,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,396,20,Residential," 626 EAST 14TH STREET, 6                   ",10009,0,0,0,0,0,1920,2,Residential,375000,2009-03-04,09,COOPS ,4,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,396,20,Residential," 636 EAST 14TH STREET, 18                  ",10009,0,0,0,0,0,1920,2,Residential,401267,2009-05-27,09,COOPS ,27,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,396,20,Residential," 628 EAST 14TH STREET, 14                  ",10009,0,0,0,0,0,1920,2,Residential,397552,2009-12-09,09,COOPS ,9,12,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,397,25,Residential," 185 EAST 2ND STREET, 3B                   ",10009,0,0,0,0,0,1915,2,Residential,348000,2009-03-31,09,COOPS ,31,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,397,25,Residential," 185 EAST 2 STREET, 1D                     ",10009,0,0,0,0,0,1915,2,Residential,330000,2009-08-20,09,COOPS ,20,8,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,397,25,Residential," 185 EAST 2 STREET, 2A                     ",10009,0,0,0,0,0,1915,2,Residential,345000,2009-03-23,09,COOPS ,23,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,401,12,Residential," 504 EAST 6TH STREET, 3                    ",10009,0,0,0,0,0,1900,2,Residential,492000,2009-07-23,09,COOPS ,23,7,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,401,57,Residential," 513 EAST 5TH STREET, 2A                   ",10009,0,0,0,0,0,1929,2,Residential,290000,2009-01-13,09,COOPS ,13,1,2009
