NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,Class_Num,CLASS_CATEGORY,SALE DATE-day,SALE DATE-month,SALE DATE-year
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,402,49,Residential," 533 EAST 6TH STREET, 6                    ",10009,0,0,0,0,0,1900,2,Residential,700000,2009-12-07,09,COOPS ,7,12,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,10,Residential," 512 EAST 11TH STREET, 4D                  ",10009,0,0,0,0,0,1929,2,Residential,280000,2009-05-21,09,COOPS ,21,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,11,Residential," 514 EAST 11TH STREET, 2A                  ",10009,0,0,0,0,0,1929,2,Residential,200000,2009-06-18,09,COOPS ,18,6,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,13,Residential," 518 EAST 11TH STREET, 2B                  ",10009,0,0,0,0,0,1900,2,Residential,572500,2009-05-04,09,COOPS ,4,5,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,21,Residential," 534 EAST11TH, 19                          ",10009,0,0,0,0,0,1920,2,Residential,80000,2009-11-30,09,COOPS ,30,11,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,26,Residential," 544 EAST 11TH STREET, 2A                  ",10009,0,0,0,0,0,1928,2,Residential,535000,2009-08-06,09,COOPS ,6,8,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,27,Residential," 546 EAST 11TH STREET, 1B                  ",10009,0,0,0,0,0,1900,2,Residential,0,2009-03-06,09,COOPS ,6,3,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,404,49,Residential," 313 EAST 10TH STREET, 4                   ",10009,0,0,0,0,0,1900,2,Residential,990000,2009-04-21,09,COOPS ,21,4,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,406,18,Residential," 524 EAST 13TH STREET, D2                  ",10009,0,0,0,0,0,1925,2,Residential,0,2009-12-02,09,COOPS ,2,12,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,406,50,Residential," 527 EAST 12TH STREET, C8                  ",10009,0,0,0,0,0,1901,2,Residential,380000,2009-09-22,09,COOPS ,22,9,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,406,50,Residential," 527 EAST 12TH STREET, A4                  ",10009,0,0,0,0,0,1901,2,Residential,302000,2009-11-03,09,COOPS ,3,11,2009
ALPHABET CITY,09  COOPS - WALKUP APARTMENTS,2,406,61,Residential," 507 EAST 12TH STREET, 4B                  ",10009,0,0,0,0,0,1900,2,Residential,425000,2009-08-25,09,COOPS ,25,8,2009
ALPHABET CITY,10  COOPS - ELEVATOR APARTMENTS,2,386,36,Residential," 300 EAST 4TH STREET, 1-C                  ",10009,0,0,0,0,0,1940,2,Residential,750000,2009-04-10,10,COOPS ,10,4,2009
ALPHABET CITY,12  CONDOS - WALKUP APARTMENTS,2,386,1011,Residential," 211 EAST 3 STREET, 5R                     ",10009,1,0,1,0,1300,2007,2,Residential,1299000,2009-01-07,12,CONDOS ,7,1,2009
ALPHABET CITY,12  CONDOS - WALKUP APARTMENTS,2,393,1002,Residential," 642 EAST 11 STREET, A1                    ",10009,1,0,1,0,1135,2007,2,Residential,1050000,2009-07-13,12,CONDOS ,13,7,2009
ALPHABET CITY,12  CONDOS - WALKUP APARTMENTS,2,398,1018,Residential," 182 EAST 2 STREET, 3D                     ",10009,1,0,1,0,416,2007,2,Residential,0,2009-04-28,12,CONDOS ,28,4,2009
ALPHABET CITY,12  CONDOS - WALKUP APARTMENTS,2,398,1027,Residential," 182 EAST 2 STREET, 4F                     ",10009,1,0,1,0,723,2007,2,Residential,0,2009-07-28,12,CONDOS ,28,7,2009
ALPHABET CITY,12  CONDOS - WALKUP APARTMENTS,2,398,1040,Residential," 182 EAST 2 STREET, 6F                     ",10009,1,0,1,0,723,2007,2,Residential,0,2009-04-10,12,CONDOS ,10,4,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,375,1010,Residential," 754 EAST 6 STREET, 3D                     ",10009,1,0,1,0,1070,2007,2,Residential,0,2009-09-01,13,CONDOS ,1,9,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,375,1021,Residential," 754 EAST 6 STREET, 5E                     ",10009,1,0,1,0,936,2007,2,Residential,0,2009-02-10,13,CONDOS ,10,2,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,390,1012,Residential," 217 EAST 7 STREET, 4A-B                   ",10009,1,0,1,0,1048,2007,2,Residential,775000,2009-11-24,13,CONDOS ,24,11,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,390,1017,Residential," 217 EAST 7 STREET, 6C-D                   ",10009,1,0,1,0,1054,2007,2,Residential,976000,2009-11-24,13,CONDOS ,24,11,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,392,1004,Residential," 143 AVENUE B, 2C                          ",10009,1,0,1,0,1000,1928,2,Residential,0,2009-07-01,13,CONDOS ,1,7,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,392,1046,Residential," 143 AVENUE B, 9D                          ",10009,1,0,1,6442,450,1928,2,Residential,585000,2009-06-11,13,CONDOS ,11,6,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,392,1064,Residential," 143 AVENUE B, 12A                         ",10009,1,0,1,6442,490,1928,2,Residential,585000,2009-07-02,13,CONDOS ,2,7,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,392,1113,Residential,631 EAST 9 STREET                         ,10009,1,0,1,0,813,2005,2,Residential,0,2009-06-05,13,CONDOS ,5,6,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,397,1012,Residential," 175 EAST 2 STREET, 3B                     ",10009,1,0,1,0,740,2007,2,Residential,750000,2009-09-11,13,CONDOS ,11,9,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,397,1017,Residential," 175 EAST 2 STREET, 4C                     ",10009,1,0,1,0,750,2007,2,Residential,712500,2009-12-21,13,CONDOS ,21,12,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,397,1113,Residential," 240 EAST HOUSTON STREET, 4E               ",10002,1,0,1,0,1000,2007,2,Residential,790000,2009-08-13,13,CONDOS ,13,8,2009
ALPHABET CITY,13  CONDOS - ELEVATOR APARTMENTS,2,405,1307,Residential," 525 EAST 11 STREET, 3F                    ",10009,1,0,1,0,632,2007,2,Residential,700000,2009-10-28,13,CONDOS ,28,10,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,377,1101,Residential," 259 EAST 7 STREET, G                      ",10009,1,0,1,5830,2780,2007,2,Residential,2125000,2009-10-15,15,CONDOS ,15,10,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,377,1102,Residential," 259 EAST 7 STREET, 1A                     ",10009,1,0,1,5830,1539,2007,2,Residential,1577300,2009-12-09,15,CONDOS ,9,12,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,377,1104,Residential," 259 EAST 7 STREET, 2A                     ",10009,1,0,1,5830,1539,2007,2,Residential,1500000,2009-12-15,15,CONDOS ,15,12,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,377,1108,Residential," 259 EAST 7 STREET, PH                     ",10009,1,0,1,5830,6665,2007,2,Residential,5854937,2009-07-29,15,CONDOS ,29,7,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,384,1003,Residential," 211 EAST 2 STREET, 3                      ",10009,1,0,1,0,905,1905,2,Residential,675250,2009-09-25,15,CONDOS ,25,9,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,384,1005,Residential," 211 EAST 2 STREET, 5                      ",10009,1,0,1,0,1310,1905,2,Residential,0,2009-04-09,15,CONDOS ,9,4,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,394,1005,Residential," 645 EAST 11 STREET, 3A                    ",10009,1,0,1,0,750,2007,2,Residential,1078500,2009-10-09,15,CONDOS ,9,10,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,394,1006,Residential," 645 EAST 11 STREET, 3B                    ",10009,1,0,1,0,750,2007,2,Residential,0,2009-10-09,15,CONDOS ,9,10,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,405,1105,Residential," 549 EAST 11 STREET, A2                    ",10009,1,0,1,0,1079,2007,2,Residential,0,2009-09-23,15,CONDOS ,23,9,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,406,1103,Residential," 525 EAST 12 STREET, 3A                    ",10009,1,0,1,0,1286,2007,2,Residential,1221900,2009-03-12,15,CONDOS ,12,3,2009
ALPHABET CITY,15  CONDOS - 2-10 UNIT RESIDENTIAL,2,406,1105,Residential," 525 EAST 12 STREET, 5A                    ",10009,1,0,1,0,1286,2007,2,Residential,1200000,2009-07-24,15,CONDOS ,24,7,2009
ALPHABET CITY,17  CONDOPS,2,398,1102,Residential," 186 EAST 2ND   STREET, 7                  ",10009,0,0,0,0,0,1920,2,Residential,285000,2009-10-27,17,CONDOPS,27,10,2009
ALPHABET CITY,17  CONDOPS,2,399,1002,Residential," 50 AVENUE A, 4B                           ",10009,0,0,0,0,0,1920,2,Residential,860000,2009-06-05,17,CONDOPS,5,6,2009
ALPHABET CITY,17  CONDOPS,2,399,1002,Residential," 50 AVENUE A, 6A                           ",10009,0,0,0,0,0,1920,2,Residential,0,2009-08-20,17,CONDOPS,20,8,2009
ALPHABET CITY,17  CONDOPS,2,407,1003,Residential," 214 AVENUE A, TERR                        ",10009,0,0,0,0,0,1920,2,Residential,726300,2009-08-04,17,CONDOPS,4,8,2009
ALPHABET CITY,22  STORE BUILDINGS,4,396,7,Commercial Buildings,227 AVENUE B                              ,10009,0,3,3,3289,3260,1936,4,Commercial Buildings,0,2009-10-21,22,STORE BUILDINGS,21,10,2009
ALPHABET CITY,22  STORE BUILDINGS,4,396,7,Commercial Buildings,227 AVENUE B                              ,10009,0,3,3,3289,3260,1936,4,Commercial Buildings,0,2009-08-10,22,STORE BUILDINGS,10,8,2009
ALPHABET CITY,31  COMMERCIAL VACANT LAND,4,379,53,Vacant Lots,EAST 9 STREET                             ,10009,0,0,0,1845,0,2009,4,Vacant Lots,3,2009-09-25,31,COMMERCIAL VACANT LAND,25,9,2009
ALPHABET CITY,31  COMMERCIAL VACANT LAND,4,379,54,Vacant Lots,719 EAST 9 STREET                         ,10009,0,0,0,4613,0,2009,4,Vacant Lots,0,2009-09-25,31,COMMERCIAL VACANT LAND,25,9,2009
ALPHABET CITY,31  COMMERCIAL VACANT LAND,4,379,56,Vacant Lots,EAST 9 STREET                             ,10009,0,0,0,2300,0,2009,4,Vacant Lots,0,2009-09-25,31,COMMERCIAL VACANT LAND,25,9,2009
CHELSEA,01  ONE FAMILY HOMES,1,719,31,Residential,415 WEST 21 STREET                        ,10011,1,0,1,2299,4224,1900,1,Residential,0,2009-07-15,01,ONE FAMILY HOMES,15,7,2009
CHELSEA,01  ONE FAMILY HOMES,1,719,31,Residential,415 WEST 21 STREET                        ,10011,1,0,1,2299,4224,1900,1,Residential,0,2009-07-15,01,ONE FAMILY HOMES,15,7,2009
CHELSEA,01  ONE FAMILY HOMES,1,719,31,Residential,415 WEST 21 STREET                        ,10011,1,0,1,2299,4224,1900,1,Residential,0,2009-07-15,01,ONE FAMILY HOMES,15,7,2009
CHELSEA,01  ONE FAMILY HOMES,1,722,73,Residential,462 WEST 25 STREET                        ,10001,1,0,1,1370,5148,1970,1,Residential,0,2009-04-10,01,ONE FAMILY HOMES,10,4,2009
CHELSEA,01  ONE FAMILY HOMES,1,793,58,Mixed Use,134 WEST 18 STREET                        ,10011,1,1,2,2116,5290,1920,1,Mixed Use,0,2009-10-28,01,ONE FAMILY HOMES,28,10,2009
CHELSEA,02  TWO FAMILY HOMES,1,722,12,Residential,447 WEST 24 STREET                        ,10011,2,0,2,2057,3360,1910,1,Residential,995000,2009-05-13,02,TWO FAMILY HOMES,13,5,2009
CHELSEA,02  TWO FAMILY HOMES,1,744,12,Residential,349 WEST 20 STREET                        ,10011,2,0,2,1380,3110,1910,1,Residential,4750000,2009-10-20,02,TWO FAMILY HOMES,20,10,2009
CHELSEA,02  TWO FAMILY HOMES,1,771,58,Residential,236 WEST 22 STREET                        ,10011,2,0,2,1632,4590,1901,1,Residential,0,2009-04-30,02,TWO FAMILY HOMES,30,4,2009
CHELSEA,02  TWO FAMILY HOMES,1,771,58,Residential,236 WEST 22 STREET                        ,10011,2,0,2,1632,4590,1901,1,Residential,0,2009-01-02,02,TWO FAMILY HOMES,2,1,2009
CHELSEA,03  THREE FAMILY HOMES,1,743,11,Residential,355 WEST 19 STREET                        ,10011,3,0,3,1564,3264,1910,1,Residential,0,2009-06-19,03,THREE FAMILY HOMES,19,6,2009
CHELSEA,03  THREE FAMILY HOMES,1,743,83,Residential,156 9 AVENUE                              ,10011,3,0,3,1840,4224,1920,1,Residential,0,2009-04-02,03,THREE FAMILY HOMES,2,4,2009
CHELSEA,03  THREE FAMILY HOMES,1,743,83,Residential,156 9 AVENUE                              ,10011,3,0,3,1840,4224,1920,1,Residential,0,2009-01-23,03,THREE FAMILY HOMES,23,1,2009
CHELSEA,03  THREE FAMILY HOMES,1,745,11,Residential,347 WEST 21 STREET                        ,10011,3,0,3,2074,3147,1910,1,Residential,3800000,2009-08-04,03,THREE FAMILY HOMES,4,8,2009
CHELSEA,03  THREE FAMILY HOMES,1,771,61,Residential,242 WEST 22 STREET                        ,10011,3,0,3,2469,4825,1901,1,Residential,0,2009-06-23,03,THREE FAMILY HOMES,23,6,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,693,36,Residential,195 10 AVENUE                             ,10011,8,1,9,2467,8830,1905,2,Residential,0,2009-07-30,07,RENTALS ,30,7,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,715,1,Residential,457 WEST 17 STREET                        ,10011,12,1,13,2050,9719,1900,2,Residential,2000000,2009-03-25,07,RENTALS ,25,3,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,719,10,Residential,455 WEST 21 STREET                        ,10011,4,0,4,1975,4660,1900,2,Residential,0,2009-06-22,07,RENTALS ,22,6,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,719,19,Residential,439 WEST 21 STREET                        ,10011,8,0,8,1577,3600,1910,2,Residential,0,2009-11-16,07,RENTALS ,16,11,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,720,79,Residential,464 WEST 23 STREET                        ,10011,10,0,10,2173,6135,1920,2,Residential,2624000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,722,45,Residential,406 WEST 25 STREET                        ,10001,20,0,20,2468,9800,1910,2,Residential,0,2009-04-16,07,RENTALS ,16,4,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,766,30,Residential,217 WEST 16 STREET                        ,10011,59,1,60,4600,18030,1930,2,Residential,7260000,2009-03-18,07,RENTALS ,18,3,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,791,27,Residential,123 WEST 15 STREET                        ,10011,13,0,13,2065,4165,1910,2,Residential,3400000,2009-06-24,07,RENTALS ,24,6,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,795,55,Residential,122 WEST 20 STREET                        ,10011,8,2,10,2300,7000,1901,2,Residential,1643000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,795,71,Residential,156 WEST 20 STREET                        ,10011,9,1,10,1632,6330,1901,2,Residential,2424000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,800,53,Residential,120 WEST 25 STREET                        ,10001,8,2,10,4100,16920,1900,2,Residential,5242000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,800,55,Residential,124 WEST 25 STREET                        ,10001,9,2,11,2469,10160,1901,2,Residential,3653000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,800,56,Residential,126 WEST 25 STREET                        ,10001,8,1,9,2469,10470,1901,2,Residential,4541000,2009-12-17,07,RENTALS ,17,12,2009
CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,690,46,Residential,524 WEST 19 STREET                        ,10011,8,1,9,4600,33183,2008,2,Residential,6500000,2009-07-29,08,RENTALS ,29,7,2009
CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,690,46,Residential,524 WEST 19 STREET                        ,10011,8,1,9,4600,33183,2008,2,Residential,0,2009-07-29,08,RENTALS ,29,7,2009
CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,722,43,Residential,241 9 AVENUE                              ,10001,40,3,43,4938,30500,1929,2,Residential,0,2009-08-27,08,RENTALS ,27,8,2009
CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,722,43,Residential,241 9 AVENUE                              ,10001,40,3,43,4938,30500,1929,2,Residential,0,2009-03-16,08,RENTALS ,16,3,2009
