name,review_count,categories,rating,latitude,longitude,price,address,zip_code,Problem
Hunan Delight,272,Chinese,4.0,40.6755282563532,-73.9780712127686,$$,752 Union St,11215.0,1.0
Shu Jiao Fu Zhou Cuisine Restaurant,623,Chinese,4.5,40.7184290357839,-73.9916928979573,$,118 Eldridge St,10002.0,0.0
Joe's Shanghai,5623,Shanghainese,4.0,40.714669144289104,-73.99776022066541,$$,9 Pell St,10013.0,0.0
Han Dynasty,1096,Szechuan,4.0,40.732071999999995,-73.988074,$$,90 3rd Ave,10003.0,1.0
Wah Fung No 1 Fast Food,1121,Chinese,4.5,40.71735,-73.99457,$,79 Chrystie St,10002.0,0.0
Chow House,195,Chinese,4.5,40.72915,-74.00072,$$,181 Bleecker St,10012.0,0.0
Han Dynasty,501,Szechuan,4.0,40.78752,-73.97646999999998,$$,215 W 85th St,10024.0,1.0
Café China,1332,Szechuan,4.0,40.7499225208569,-73.98194641271971,$$,13 E 37th St,10016.0,0.0
China Xiang,361,Chinese,4.0,40.758290212563296,-73.99251139938991,$$,360 W 42nd Street,10036.0,1.0
Kings Co Imperial,250,Chinese,4.0,40.71512,-73.95097,$$,20 Skillman Ave,11211.0,0.0
Yaso Tangbao,672,Shanghainese,4.0,40.6918206366101,-73.98639923640009,$$,148 Lawrence St,11201.0,1.0
Lucky House Kitchen,83,Chinese,4.5,40.683840215206104,-73.9351565390825,$,343 Lewis Ave,11233.0,0.0
Szechuan Garden,231,Szechuan,4.0,40.8003719688892,-73.96764913086021,$$,239 W 105th St,10025.0,1.0
Auntie Guan's Kitchen 108,314,Chinese,3.5,40.737721347759795,-73.99741485125179,$$,108 W 14th St,10011.0,0.0
The Wei,208,Chinese,4.0,40.68983,-73.98170999999998,$$,30 Dekalb Ave,11201.0,1.0
Tipsy Shanghai,89,Chinese,4.0,40.72929,-73.99882,$$,228 Thompson St,10012.0,0.0
Dim Sum Palace,936,Dim Sum,4.0,40.76015,-73.9893699,$$,334 W 46th St,10036.0,1.0
Clay Pot NYC,207,Chinese,4.5,40.7279880270274,-73.9865907985248,$$,58 St Mark's Pl,10003.0,0.0
Dragon & Phoenix Restaurant,119,Chinese,4.0,40.7754678279161,-73.911422342062,$,22-17 31st St,11105.0,0.0
Wing Cheong Restaurant,50,Chinese,4.0,40.680375,-73.945514,$,1389 Fulton St,11216.0,0.0
China Express,91,Chinese,4.0,40.7061859,-73.95014350000002,$,192 Union Ave,11211.0,1.0
Fatima's Halal Kitchen,347,Chinese,4.0,40.763118608431895,-73.9275405041124,$,25-25 Broadway,11106.0,0.0
China Blue,587,Shanghainese,4.0,40.724038,-74.009958,$$,135 Watts St,10013.0,1.0
Uncle Ted's Modern Chinese Cuisine,422,Chinese,4.0,40.72882,-73.999961,$$,163 Bleecker St,10012.0,0.0
Xing's Chef,75,Chinese,4.0,40.77010920790771,-73.9021204913637,$,46-20 Ditmars Blvd,11105.0,0.0
Zest Szechuan,455,Szechuan,3.5,40.75274,-73.98445,$$,45 W 39th St,10018.0,1.0
Xi'an Famous Foods,1468,Chinese,4.0,40.75585,-73.98078000000002,$,24 W 45th St,10036.0,0.0
Grand Sichuan NY II,205,Szechuan,4.0,40.7274381816387,-73.8557088375092,$$,98-108 Queens Blvd,11374.0,0.0
China Garden,60,Chinese,4.0,40.741659999999996,-73.92577,$,39-20 47th Ave,11104.0,1.0
Xifu Food,88,Chinese,4.5,40.6880326,-73.9819963,$,318 Livingston St,11217.0,1.0
Xi'an Famous Foods,444,Chinese,4.0,40.77197,-73.95452,$,328 E 78th St,10075.0,0.0
Xi’an Famous Foods,37,Chinese,4.0,40.709193,-74.00934699999998,$$,8 Liberty Pl,10038.0,0.0
Fishmarket Restaurant,481,Seafood,4.5,40.70717,-74.00192,$$,111 South St,10038.0,0.0
21 Shanghai House,399,Shanghainese,4.0,40.7140138244835,-73.99644549325409,$$,21 Division St,10002.0,0.0
Chive Blossom NYC,101,Pan Asian,4.5,40.710796,-73.963901,$$,394 Bedford Ave,11249.0,0.0
MáLà Project,510,Chinese,4.0,40.727129999999995,-73.98541999999998,$$,122 1st Ave,10009.0,0.0
Hao Noodle Chelsea,145,Chinese,4.0,40.7406999,-74.00435999999998,$$,343 W 14th St,10014.0,0.0
Hardee Chinese- American,17,Chinese,4.5,40.6933441162109,-73.97222900390621,$,351 Myrtle Ave,11205.0,0.0
Good Chinese Restaurant,102,Chinese,3.5,40.6951122106303,-73.9116479761463,$,663 Knickerbocker Ave,11221.0,1.0
China Garden,5,Chinese,5.0,40.703364,-73.92151700000002,$,133 Irving Ave,11237.0,1.0
PACIFIC MOON,59,Chinese,4.5,40.75119,-73.90269,$,59-02 Broadway,11377.0,0.0
