ID,Complaint.Type,Descriptor,Location.Type,Incident.Zip,Incident.Address,Borough,Latitude,Longitude,open.date,open.time,weekday,work
35921,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10075,1471 FIRST AVENUE,MANHATTAN,40.77076607,-73.95384973,2017/8/29,1:16:55 AM,3,1
52597,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,3212 CONEY ISLAND AVENUE,BROOKLYN,40.57748673,-73.95960623,2017/8/29,2:42:38 AM,3,1
89162,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11209,,BROOKLYN,40.62136773,-74.03191912,2017/9/26,10:15:20 PM,3,1
89530,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,76 THOMAS STREET,MANHATTAN,40.71718653,-74.00812022,2017/9/26,10:46:19 PM,3,1
91360,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,,BROOKLYN,40.67751492,-73.95912383,2017/9/26,11:37:18 PM,3,1
96587,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,1120 MANHATTAN AVENUE,BROOKLYN,40.73677571,-73.95532748,2017/9/26,10:59:16 PM,3,1
103644,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,1005 PACIFIC STREET,BROOKLYN,40.67944495,-73.96040615,2017/9/26,10:15:11 PM,3,1
104067,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,925 FULTON STREET,BROOKLYN,40.68334712,-73.96621238,2017/9/26,10:28:34 PM,3,1
104285,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10022,975 2 AVENUE,MANHATTAN,40.75589431,-73.96779263,2017/9/26,9:16:11 PM,3,1
105606,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,206 9 AVENUE,MANHATTAN,40.7462318,-74.00150133,2017/9/26,10:23:14 PM,3,1
105625,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,259 SAINT NICHOLAS AVENUE,BROOKLYN,40.70243378,-73.91300919,2017/9/26,8:57:37 PM,3,1
106056,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,367 WEST 46 STREET,MANHATTAN,40.7605452,-73.98967978,2017/9/26,10:33:31 PM,3,1
106057,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,401 WEST 48 STREET,MANHATTAN,40.76242266,-73.99028594,2017/9/26,7:51:59 PM,3,1
106060,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,1120 MANHATTAN AVENUE,BROOKLYN,40.73677571,-73.95532748,2017/9/26,8:11:06 PM,3,1
139904,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10030,2308 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,40.81561858,-73.94348264,2017/8/1,3:08:22 PM,3,1
141872,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10030,2308 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,40.81561858,-73.94348264,2017/8/1,11:59:30 AM,3,1
142931,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,221 WEST BROADWAY,MANHATTAN,40.71921777,-74.0063095,2017/4/25,12:19:07 AM,3,1
142932,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,78 6 AVENUE,BROOKLYN,40.68007756,-73.97483088,2017/4/25,2:05:12 AM,3,1
152915,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,206 9 AVENUE,MANHATTAN,40.7462318,-74.00150133,2017/8/29,10:43:41 PM,3,1
152946,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,484 UNION AVENUE,BROOKLYN,40.71495071,-73.95175288,2017/8/29,10:33:27 PM,3,1
152964,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,206 9 AVENUE,MANHATTAN,40.7462318,-74.00150133,2017/8/29,11:20:10 PM,3,1
153624,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,132 LUDLOW STREET,MANHATTAN,40.72024662,-73.98825743,2017/8/29,11:12:26 PM,3,1
153726,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,511 3 AVENUE,MANHATTAN,40.74593876,-73.9779566,2017/8/29,11:18:27 PM,3,1
